fold,representation,model,window_hours,placebo_type,eval_group_type,eval_group,status,n_obs,brier,log_loss,avg_pred,avg_actual,ece
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,active_market_count_bucket,51-100,ok,13110,0.061957064326377334,0.20836506861118417,0.11550588764997285,0.08474446987032799,0.051595719402762266
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,overall,overall,ok,14850,0.05908710633216636,0.1982510237139369,0.11123306721893733,0.08653198653198653,0.04526584920547146
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,broad_family,crypto_btc,ok,3112,0.08148546160002393,0.2367872839506718,0.14560755592171723,0.0,0.14560755592171723
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,broad_family,crypto_eth,ok,1937,0.08820113572417294,0.27058385402880775,0.17028920303593154,0.0,0.1702892030359315
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,broad_family,crypto_microstrategy,ok,336,0.0002892196121759628,0.015654790399245774,0.015507711210276635,0.0,0.015507711210276635
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,broad_family,crypto_policy,ok,336,0.0016233280016407744,0.037464817352804505,0.0366198897550201,0.0,0.03661988975502009
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,broad_family,macro_fed_rates,ok,9129,0.049553352682378204,0.18240514416025666,0.09325394610229998,0.1407602147004053,0.058727953020827034
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,active_market_count_bucket,26-50,ok,1740,0.04132660102961178,0.1324733339443355,0.1036391591093341,0.1,0.08811720480858153
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,active_market_count_bucket,51-100,ok,13110,0.06144433586888985,0.2069812434087582,0.11224095433645906,0.08474446987032799,0.04880062251675365
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,overall,overall,ok,14850,0.05970498704827979,0.2002699243303157,0.1154457270221484,0.08653198653198653,0.04796356036676632
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,broad_family,crypto_btc,ok,3112,0.08545021480539107,0.24859196357920976,0.15082356963569288,0.0,0.15082356963569288
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,broad_family,crypto_eth,ok,1937,0.09295322786532254,0.28547879729090925,0.1769066103811787,0.0,0.17690661038117866
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,broad_family,crypto_microstrategy,ok,336,0.00032450306378208445,0.016843694574693722,0.01667873787357167,0.0,0.01667873787357167
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,broad_family,crypto_policy,ok,336,0.0018108445712652355,0.040162899941168076,0.039220950307348464,0.0,0.03922095030734848
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,broad_family,macro_fed_rates,ok,9129,0.048190394349005614,0.1783616540187169,0.09678559514026677,0.1407602147004053,0.05677488643225949
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,active_market_count_bucket,26-50,ok,1740,0.041329022257888995,0.13245555280826146,0.10324935729461278,0.1,0.08722424091964494
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,active_market_count_bucket,51-100,ok,13110,0.06214390228361771,0.2092704587657371,0.11706446716905246,0.08474446987032799,0.053255577075945346
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,overall,overall,ok,14850,0.05972297418750707,0.2003276610745156,0.11550407749258088,0.08653198653198653,0.047801777064077615
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,broad_family,crypto_btc,ok,3112,0.08553971982004412,0.24886413475515295,0.1509205630236931,0.0,0.1509205630236931
